Indicator,State,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,17.9,14.7,21.4,14.7 - 21.4,15.8-19.2
Symptoms of Depressive Disorder,Nebraska,9.8,7.6,12.4,7.6 - 12.4,8.9-12.4
Symptoms of Anxiety Disorder,Nebraska,17.9,14,22.3,14.0 - 22.3,16.4-18.0
Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,20,16.1,24.3,16.1 - 24.3,19.5-21.5
Symptoms of Depressive Disorder,Nevada,23.6,19.1,28.7,19.1 - 28.7,22.2 - 24.0
Symptoms of Anxiety Disorder,Nevada,31.4,27.3,35.7,27.3 - 35.7,30.4 - 31.6
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,34.8,30.4,39.4,30.4 - 39.4,34.8 - 36.7
Symptoms of Depressive Disorder,Nevada,31.2,25.4,37.5,25.4 - 37.5,25.7 - 35.5
Symptoms of Anxiety Disorder,Nevada,34,28.3,40.2,28.3 - 40.2,31.6 - 38.3
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,38.1,32.7,43.8,32.7 - 43.8,36.1 - 48.4
Symptoms of Depressive Disorder,Nevada,26.9,22.6,31.6,22.6 - 31.6,25.7-36.4
Symptoms of Anxiety Disorder,Nevada,29,25,33.3,25.0 - 33.3,28.9-36.1
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,36.9,32.8,41.2,32.8 - 41.2,35.0-44.3
Symptoms of Depressive Disorder,Nevada,27.1,24.2,30.2,24.2 - 30.2,25.9-31.1
Symptoms of Anxiety Disorder,Nevada,35.6,31.6,39.8,31.6 - 39.8,30.7-36.0
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,40.7,36.6,45,36.6 - 45.0,35.6-41.4
Symptoms of Depressive Disorder,Nevada,20.2,17.3,23.3,17.3 - 23.3,17.0-21.4
Symptoms of Anxiety Disorder,Nevada,30.3,26.5,34.4,26.5 - 34.4,29.7-31.7
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,34.2,30.3,38.3,30.3 - 38.3,31.7-34.2
Symptoms of Depressive Disorder,Nevada,27.6,23.6,31.9,23.6 - 31.9,27.3-30.3
Symptoms of Anxiety Disorder,Nevada,33.3,28.9,37.9,28.9 - 37.9,32.8-36.3
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,38.5,34,43.1,34.0 - 43.1,37.7-40.7
Symptoms of Depressive Disorder,Nevada,30.4,24.8,36.5,24.8 - 36.5,26.8-34.5
Symptoms of Anxiety Disorder,Nevada,33.5,28.1,39.2,28.1 - 39.2,33.4-39.8
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,37.9,32.4,43.6,32.4 - 43.6,35.0-37.9
Symptoms of Depressive Disorder,Nevada,32.5,28.5,36.6,28.5 - 36.6,28.8-35.6
Symptoms of Anxiety Disorder,Nevada,38.4,34.4,42.6,34.4 - 42.6,33.4-41.3
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,45.6,41.6,49.6,41.6 - 49.6,38.4-46.8
Symptoms of Depressive Disorder,Nevada,26.8,23.2,30.7,23.2 - 30.7,26.1-28.9
Symptoms of Anxiety Disorder,Nevada,35,31.1,39.1,31.1 - 39.1,34.8-40.5
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,39.1,35,43.2,35.0 - 43.2,36.0-39.4
Symptoms of Depressive Disorder,Nevada,34.6,30.1,39.4,30.1 - 39.4,29.4-34.6
Symptoms of Anxiety Disorder,Nevada,40.6,35.6,45.8,35.6 - 45.8,35.4-40.6
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,44.8,39.9,49.7,39.9 - 49.7,40.7-44.8
Symptoms of Depressive Disorder,Nevada,33.3,28.9,37.9,28.9 - 37.9,30.8-36.1
Symptoms of Anxiety Disorder,Nevada,42.8,37.8,47.8,37.8 - 47.8,37.9-42.8
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,46.4,41.3,51.5,41.3 - 51.5,42.1-46.5
Symptoms of Depressive Disorder,Nevada,38.6,34,43.3,34.0 - 43.3,32.3-38.6
Symptoms of Anxiety Disorder,Nevada,43.7,38.8,48.6,38.8 - 48.6,38.5-45.4
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,46.8,42,51.6,42.0 - 51.6,43.6-50.2
Symptoms of Depressive Disorder,Nevada,26.9,24.2,29.9,24.2 - 29.9,25.8-28.3
Symptoms of Anxiety Disorder,Nevada,35.2,32,38.5,32.0 - 38.5,33.4-37.1
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,40.4,37.3,43.5,37.3 - 43.5,38.3-40.4
Symptoms of Depressive Disorder,Nevada,27.1,24,30.3,24.0 - 30.3,26.6-30.3
Symptoms of Anxiety Disorder,Nevada,32.1,28.4,36,28.4 - 36.0,31.2-33.4
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,37.6,33.9,41.4,33.9 - 41.4,35.4-38.1
Symptoms of Depressive Disorder,Nevada,31.3,27.4,35.3,27.4 - 35.3,26.9-31.8
Symptoms of Anxiety Disorder,Nevada,35.6,31.5,39.9,31.5 - 39.9,34.0-41.1
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,42.8,39,46.7,39.0 - 46.7,38.5-47.6
Symptoms of Depressive Disorder,Nevada,29.2,25.1,33.6,25.1 - 33.6,26.1-31.5
Symptoms of Anxiety Disorder,Nevada,39.3,34.8,43.9,34.8 - 43.9,34.0-39.3
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,43.3,38.8,47.9,38.8 - 47.9,38.9-44.0
Symptoms of Depressive Disorder,Nevada,31,27.9,34.2,27.9 - 34.2,27.4-33.4
Symptoms of Anxiety Disorder,Nevada,37.1,32.8,41.5,32.8 - 41.5,34.9-39.5
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,41.9,37.8,46,37.8 - 46.0,39.7-46.3
Symptoms of Depressive Disorder,Nevada,34,28.1,40.3,28.1 - 40.3,29.5-34.0
Symptoms of Anxiety Disorder,Nevada,39.9,34.2,45.8,34.2 - 45.8,38.4-45.6
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,47.3,41.6,53.1,41.6 - 53.1,43.7-50.1
Symptoms of Depressive Disorder,Nevada,32.5,27.6,37.8,27.6 - 37.8,30.2-35.5
Symptoms of Anxiety Disorder,Nevada,43.2,37.5,49.1,37.5 - 49.1,38.5-43.2
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,47.6,42.4,52.9,42.4 - 52.9,44.4-49.7
Symptoms of Depressive Disorder,Nevada,35.7,31.6,39.9,31.6 - 39.9,31.3-36.9
Symptoms of Anxiety Disorder,Nevada,42.4,38,46.8,38.0 - 46.8,37.8-43.1
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,47.2,42.8,51.7,42.8 - 51.7,43.8-47.6
Symptoms of Depressive Disorder,Nevada,35.3,31.2,39.6,31.2 - 39.6,32.4-39.4
Symptoms of Anxiety Disorder,Nevada,39.5,35.6,43.6,35.6 - 43.6,38.2-45.5
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,46.1,42.3,50,42.3 - 50.0,44.2-50.0
Symptoms of Depressive Disorder,Nevada,30.8,25.9,36,25.9 - 36.0,30.2-38.5
Symptoms of Anxiety Disorder,Nevada,34.9,30.5,39.5,30.5 - 39.5,34.9-37.3
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,41.7,36.7,46.7,36.7 - 46.7,40.5-42.8
Symptoms of Depressive Disorder,Nevada,30.9,26.1,35.9,26.1 - 35.9,30.4-34.0
Symptoms of Anxiety Disorder,Nevada,37.4,32.4,42.5,32.4 - 42.5,37.2-43.4
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,41.4,36.2,46.7,36.2 - 46.7,40.9-43.2
Symptoms of Depressive Disorder,Nevada,30.4,26.3,34.6,26.3 - 34.6,29.9-33.4
Symptoms of Anxiety Disorder,Nevada,39,35,43.2,35.0 - 43.2,35.6-39.8
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,44,39.8,48.3,39.8 - 48.3,40.7-45.1
Symptoms of Depressive Disorder,Nevada,36.1,31.3,41.1,31.3 - 41.1,29.2-36.1
Symptoms of Anxiety Disorder,Nevada,40.9,36,46,36.0 - 46.0,34.5-40.9
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,46.5,41.7,51.4,41.7 - 51.4,40.2-46.5
Symptoms of Depressive Disorder,Nevada,25.4,20.9,30.3,20.9 - 30.3,25.0-28.1
Symptoms of Anxiety Disorder,Nevada,29.5,25.1,34.3,25.1 - 34.3,28.5-31.4
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,33.7,29.5,38.1,29.5 - 38.1,33.4-36.0
Symptoms of Depressive Disorder,Nevada,29.1,24.7,33.7,24.7 - 33.7,25.6-33.2
Symptoms of Anxiety Disorder,Nevada,35.4,30.3,40.6,30.3 - 40.6,31.5-37.0
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,41.7,37,46.4,37.0 - 46.4,36.3-42.6
Symptoms of Depressive Disorder,Nevada,22.6,19.2,26.3,19.2 - 26.3,22.4-23.7
Symptoms of Anxiety Disorder,Nevada,27.4,23.1,32,23.1 - 32.0,26.8-28.9
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,32.6,28.3,37,28.3 - 37.0,31.5-33.5
Symptoms of Depressive Disorder,Nevada,21.3,17.4,25.7,17.4 - 25.7,20.8-23.1
Symptoms of Anxiety Disorder,Nevada,24.2,20.2,28.6,20.2 - 28.6,23.4-25.7
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,29.2,25,33.6,25.0 - 33.6,27.4-29.8
Symptoms of Depressive Disorder,Nevada,19.4,15.9,23.1,15.9 - 23.1,19.0-20.6
Symptoms of Anxiety Disorder,Nevada,25.9,22,30,22.0 - 30.0,25.0-27.0
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,28.4,24.7,32.4,24.7 - 32.4,27.2-28.9
Symptoms of Depressive Disorder,Nevada,28.2,23.4,33.4,23.4 - 33.4,22.4-28.2
Symptoms of Anxiety Disorder,Nevada,30.7,26.8,34.7,26.8 - 34.7,27.0-31.8
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,36.5,32.5,40.6,32.5 - 40.6,31.9-36.5
Symptoms of Depressive Disorder,Nevada,25.2,21.5,29.1,21.5 - 29.1,22.4-31.5
Symptoms of Anxiety Disorder,Nevada,30.1,25.9,34.7,25.9 - 34.7,28.2-35.7
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,33.9,29.8,38.1,29.8 - 38.1,32.0-39.2
Symptoms of Depressive Disorder,Nevada,26.2,22,30.7,22.0 - 30.7,23.2-29.6
Symptoms of Anxiety Disorder,Nevada,30.8,25.5,36.6,25.5 - 36.6,26.4-33.5
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,35.6,30.1,41.4,30.1 - 41.4,31.3-37.5
Symptoms of Depressive Disorder,Nevada,29.3,24.6,34.4,24.6 - 34.4,24.3-31.3
Symptoms of Anxiety Disorder,Nevada,32.5,28.4,36.9,28.4 - 36.9,29.7-36.0
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,37,32.4,41.8,32.4 - 41.8,34.3-40.9
Symptoms of Depressive Disorder,Nevada,25.2,21.6,29,21.6 - 29.0,23.2-31.2
Symptoms of Anxiety Disorder,Nevada,29,25.1,33,25.1 - 33.0,28.0-35.1
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,33.1,29.4,37,29.4 - 37.0,32.5-39.7
Symptoms of Depressive Disorder,Nevada,27.2,22.6,32.1,22.6 - 32.1,25.1-28.4
Symptoms of Anxiety Disorder,Nevada,32.3,28.4,36.4,28.4 - 36.4,30.1-36.2
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,36.4,32.2,40.7,32.2 - 40.7,34.1-41.7
Symptoms of Depressive Disorder,Nevada,24.9,20.8,29.4,20.8 - 29.4,24.3-31.2
Symptoms of Anxiety Disorder,Nevada,29.7,25.1,34.7,25.1 - 34.7,29.6-40.1
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,33.2,28.8,37.9,28.8 - 37.9,31.2-33.7
Symptoms of Depressive Disorder,Nevada,26.5,22.2,31.2,22.2 - 31.2,25.6-30.6
Symptoms of Anxiety Disorder,Nevada,30.1,25.5,34.9,25.5 - 34.9,26.8-30.1
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,37,32.3,42,32.3 - 42.0,35.7-41.7
Symptoms of Depressive Disorder,Nevada,22.1,18.2,26.5,18.2 - 26.5,20.3-22.5
Symptoms of Anxiety Disorder,Nevada,25.8,21,31,21.0 - 31.0,24.5-27.3
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,30,25,35.3,25.0 - 35.3,28.7-31.9
Symptoms of Depressive Disorder,Nevada,27.4,23.5,31.6,23.5 - 31.6,23.2-28.2
Symptoms of Anxiety Disorder,Nevada,30.9,27.1,34.8,27.1 - 34.8,29.1-36.7
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,36.3,32.3,40.4,32.3 - 40.4,33.3-39.9
Symptoms of Depressive Disorder,Nevada,28.8,24.9,33,24.9 - 33.0,24.7-31.4
Symptoms of Anxiety Disorder,Nevada,29.8,25.4,34.5,25.4 - 34.5,28.1-30.4
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,35.4,31.2,39.8,31.2 - 39.8,34.7-40.6
Symptoms of Depressive Disorder,Nevada,29.6,25.2,34.3,25.2 - 34.3,23.9-29.6
Symptoms of Anxiety Disorder,Nevada,31.1,26.8,35.6,26.8 - 35.6,29.4-34.4
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,37,32.6,41.5,32.6 - 41.5,33.5-38.2
Symptoms of Depressive Disorder,Nevada,23.1,19.7,26.7,19.7 - 26.7,22.9-28.4
Symptoms of Anxiety Disorder,Nevada,29.2,26.1,32.5,26.1 - 32.5,26.7-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,32.7,29.1,36.4,29.1 - 36.4,30.0-33.7
Symptoms of Depressive Disorder,Nevada,23,18.4,28.2,18.4 - 28.2,23.0-34.9
Symptoms of Anxiety Disorder,Nevada,26.4,22.4,30.7,22.4 - 30.7,24.8-26.4
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,31.2,26.7,36,26.7 - 36.0,30.2-32.7
Symptoms of Depressive Disorder,Nevada,22.4,18.4,26.9,18.4 - 26.9,20.9-23.1
Symptoms of Anxiety Disorder,Nevada,25.7,20.5,31.5,20.5 - 31.5,24.8-26.1
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,30.1,24.9,35.6,24.9 - 35.6,30.1-31.9
Symptoms of Depressive Disorder,Nevada,30.2,24.7,36.3,24.7 - 36.3,25.0-32.7
Symptoms of Anxiety Disorder,Nevada,34,29.2,38.9,29.2 - 38.9,30.9-38.0
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,39.9,34.3,45.7,34.3 - 45.7,34.9-46.1
Symptoms of Depressive Disorder,Nevada,28.4,23.8,33.4,23.8 - 33.4,25.8-33.1
Symptoms of Anxiety Disorder,Nevada,33.9,28.9,39.1,28.9 - 39.1,31.8-37.6
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,38.3,33.2,43.5,33.2 - 43.5,37.1-43.5
Symptoms of Depressive Disorder,Nevada,21.3,16.8,26.4,16.8 - 26.4,19.4-21.3
Symptoms of Anxiety Disorder,Nevada,29.7,24.6,35.1,24.6 - 35.1,27.2-29.9
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,32.5,27.3,38.1,27.3 - 38.1,31.5-33.8
Symptoms of Depressive Disorder,Nevada,24.6,19.2,30.6,19.2 - 30.6,24.5-26.3
Symptoms of Anxiety Disorder,Nevada,34.2,28.4,40.5,28.4 - 40.5,34.0-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,37.1,31.4,43,31.4 - 43.0,36.0-37.9
Symptoms of Depressive Disorder,Nevada,27.2,22.2,32.7,22.2 - 32.7,27.0-33.1
Symptoms of Anxiety Disorder,Nevada,35.7,29.4,42.4,29.4 - 42.4,34.0-40.8
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,38.9,32.5,45.6,32.5 - 45.6,38.6-45.6
Symptoms of Depressive Disorder,Nevada,26.6,22,31.7,22.0 - 31.7,26.4-30.2
Symptoms of Anxiety Disorder,Nevada,38.3,32.7,44.1,32.7 - 44.1,32.5-38.3
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,39.3,33.6,45.3,33.6 - 45.3,37.3-40.3
Symptoms of Depressive Disorder,Nevada,26.5,22.3,31.1,22.3 - 31.1,26.2-32.0
Symptoms of Anxiety Disorder,Nevada,37.4,31.2,43.8,31.2 - 43.8,31.5-37.4
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,41.1,35.3,47,35.3 - 47.0,36.1-41.1
Symptoms of Depressive Disorder,Nevada,22.6,19.2,26.4,19.2 - 26.4,21.8-22.9
Symptoms of Anxiety Disorder,Nevada,26.8,23.6,30.1,23.6 - 30.1,25.5-27.4
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,32.6,28.7,36.6,28.7 - 36.6,32.1-33.2
Symptoms of Depressive Disorder,Nevada,29.4,23.2,36.2,23.2 - 36.2,23.5-30.3
Symptoms of Anxiety Disorder,Nevada,31.8,28.3,35.5,28.3 - 35.5,30.6-33.4
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,38.4,32.5,44.5,32.5 - 44.5,34.4-39.2
Symptoms of Depressive Disorder,Nevada,24.8,20.3,29.7,20.3 - 29.7,23.6-29.7
Symptoms of Anxiety Disorder,Nevada,29.6,25.1,34.4,25.1 - 34.4,27.9-29.7
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,34.5,29.7,39.5,29.7 - 39.5,32.3-34.5
Symptoms of Depressive Disorder,Nevada,21.4,16.9,26.4,16.9 - 26.4,21.3-23.4
Symptoms of Anxiety Disorder,Nevada,33.3,27.1,39.9,27.1 - 39.9,30.6-33.6
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,37.9,31.5,44.6,31.5 - 44.6,34.8-40.6
Symptoms of Depressive Disorder,Nevada,23.4,19,28.4,19.0 - 28.4,23.4-29.8
Symptoms of Anxiety Disorder,Nevada,30,25.7,34.7,25.7 - 34.7,30.0-39.4
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,35,29.7,40.5,29.7 - 40.5,34.6-42.9
Symptoms of Depressive Disorder,Nevada,22.1,18.3,26.2,18.3 - 26.2,21.3-22.7
Symptoms of Anxiety Disorder,Nevada,28.5,24.6,32.6,24.6 - 32.6,27.6-29.2
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,31.7,27.5,36.2,27.5 - 36.2,30.2-31.9
Symptoms of Depressive Disorder,Nevada,24.9,20.6,29.7,20.6 - 29.7,24.6-29.8
Symptoms of Anxiety Disorder,Nevada,29.1,24.8,33.6,24.8 - 33.6,27.5-29.9
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,35.3,30.3,40.5,30.3 - 40.5,35.2-39.4
Symptoms of Depressive Disorder,Nevada,27.1,21.9,32.9,21.9 - 32.9,24.7-27.2
Symptoms of Anxiety Disorder,Nevada,31.6,26.3,37.1,26.3 - 37.1,30.8-34.2
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,37.4,31.7,43.3,31.7 - 43.3,35.2-39.4
Symptoms of Depressive Disorder,Nevada,20.6,16.3,25.5,16.3 - 25.5,19.6-20.6
Symptoms of Anxiety Disorder,Nevada,28.6,24.2,33.4,24.2 - 33.4,26.5-31.3
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,32.9,28.2,37.9,28.2 - 37.9,31.4-37.0
Symptoms of Depressive Disorder,Nevada,27.9,24.5,31.4,24.5 - 31.4,24.5-33.1
Symptoms of Anxiety Disorder,Nevada,33.4,29.9,37.2,29.9 - 37.2,31.5-40.1
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,41.4,37.9,44.9,37.9 - 44.9,36.3-44.7
Symptoms of Depressive Disorder,Nevada,22.8,19.5,26.3,19.5 - 26.3,22.8-24.5
Symptoms of Anxiety Disorder,Nevada,28.6,24,33.4,24.0 - 33.4,28.4-29.9
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,35.4,30.9,40.1,30.9 - 40.1,35.0-36.3
Symptoms of Depressive Disorder,Nevada,17.4,13.9,21.3,13.9 - 21.3,15.7-17.9
Symptoms of Anxiety Disorder,Nevada,18.1,14.7,21.9,14.7 - 21.9,17.2-19.1
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,23.8,19.8,28.1,19.8 - 28.1,23.4-25.9
Symptoms of Depressive Disorder,Nevada,13.3,10.3,16.8,10.3 - 16.8,13.3-15.1
Symptoms of Anxiety Disorder,Nevada,20.1,15.9,24.8,15.9 - 24.8,19.6-23.2
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,23.4,19.4,27.8,19.4 - 27.8,23.4-28.0
Symptoms of Depressive Disorder,Nevada,11.1,8.6,14,8.6 - 14.0,8.8-12.0
Symptoms of Anxiety Disorder,Nevada,18.2,14.1,22.9,14.1 - 22.9,17.8-19.3
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,21.6,17.4,26.4,17.4 - 26.4,21.3-22.8
Symptoms of Depressive Disorder,Nevada,17.2,13.5,21.4,13.5 - 21.4,15.0-20.4
Symptoms of Anxiety Disorder,Nevada,21.7,17.7,26.2,17.7 - 26.2,19.4-22.1
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,26.2,21.9,30.8,21.9 - 30.8,23.1-26.8
Symptoms of Depressive Disorder,Nevada,17.3,13.7,21.3,13.7 - 21.3,15.1-18.6
Symptoms of Anxiety Disorder,Nevada,18.8,15,23.1,15.0 - 23.1,18.2-19.2
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,24.2,20.3,28.5,20.3 - 28.5,23.2-27.3
Symptoms of Depressive Disorder,Nevada,13.4,10.3,16.9,10.3 - 16.9,13.4-15.3
Symptoms of Anxiety Disorder,Nevada,15.7,12.8,19,12.8 - 19.0,11.1-15.7
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,19.3,16.1,22.9,16.1 - 22.9,19.2-20.8
Symptoms of Depressive Disorder,Nevada,15.5,12.5,18.9,12.5 - 18.9,14.0-15.5
Symptoms of Anxiety Disorder,Nevada,18.1,14.3,22.5,14.3 - 22.5,17.9-18.6
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,22.9,18.9,27.2,18.9 - 27.2,22.8-28.2
Symptoms of Depressive Disorder,Nevada,11.5,8.7,14.8,8.7 - 14.8,10.0-12.4
Symptoms of Anxiety Disorder,Nevada,12.1,9.6,15.1,9.6 - 15.1,11.7-16.3
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,15.8,12.7,19.3,12.7 - 19.3,15.8-19.2
Symptoms of Depressive Disorder,Nevada,12.2,9.2,15.8,9.2 - 15.8,8.9-12.4
Symptoms of Anxiety Disorder,Nevada,14.7,11.3,18.6,11.3 - 18.6,13.0-16.3
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,21.2,17.3,25.6,17.3 - 25.6,19.5-21.5
Symptoms of Depressive Disorder,New Hampshire,19.5,16.5,22.7,16.5 - 22.7,16.5 - 20.7
Symptoms of Anxiety Disorder,New Hampshire,31.3,27.1,35.7,27.1 - 35.7,30.4 - 31.6
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,34.8,30.6,39.2,30.6 - 39.2,34.8 - 36.7
Symptoms of Depressive Disorder,New Hampshire,23.3,18.2,28.9,18.2 - 28.9,23.1 - 25.6
Symptoms of Anxiety Disorder,New Hampshire,30.4,25.7,35.5,25.7 - 35.5,28.8 - 31.5
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,35,30,40.2,30.0 - 40.2,33.5 - 36.0
Symptoms of Depressive Disorder,New Hampshire,20.3,16.8,24.2,16.8 - 24.2,18.1-20.7
Symptoms of Anxiety Disorder,New Hampshire,25.2,21.2,29.5,21.2 - 29.5,19.0-25.2
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,28.8,24.5,33.3,24.5 - 33.3,23.8-29.7
Symptoms of Depressive Disorder,New Hampshire,22.2,18.4,26.3,18.4 - 26.3,21.0-22.9
Symptoms of Anxiety Disorder,New Hampshire,24.6,21,28.4,21.0 - 28.4,19.6-24.7
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,31.1,26.9,35.6,26.9 - 35.6,29.6-33.1
Symptoms of Depressive Disorder,New Hampshire,22.6,19.4,26.1,19.4 - 26.1,21.5-24.3
Symptoms of Anxiety Disorder,New Hampshire,26.7,22.8,30.9,22.8 - 30.9,18.4-26.7
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,31.8,27.9,35.8,27.9 - 35.8,31.7-34.2
Symptoms of Depressive Disorder,New Hampshire,26.2,21.3,31.5,21.3 - 31.5,25.1-27.2
Symptoms of Anxiety Disorder,New Hampshire,31.7,27.2,36.5,27.2 - 36.5,29.9-32.7
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,35.1,30.1,40.4,30.1 - 40.4,34.8-37.6
Symptoms of Depressive Disorder,New Hampshire,21.7,16.3,27.9,16.3 - 27.9,14.3-21.7
Symptoms of Anxiety Disorder,New Hampshire,28.1,22.6,34.2,22.6 - 34.2,27.4-30.5
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,33.4,27.6,39.6,27.6 - 39.6,32.3-34.9
Symptoms of Depressive Disorder,New Hampshire,23,17.9,28.7,17.9 - 28.7,22.5-25.0
Symptoms of Anxiety Disorder,New Hampshire,31.2,25.2,37.7,25.2 - 37.7,30.9-33.3
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,34.4,28.2,40.9,28.2 - 40.9,31.8-34.4
Symptoms of Depressive Disorder,New Hampshire,24.3,19.9,29.3,19.9 - 29.3,23.9-26.0
Symptoms of Anxiety Disorder,New Hampshire,27.5,23.8,31.4,23.8 - 31.4,25.1-29.4
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,32.4,27.7,37.4,27.7 - 37.4,29.2-34.0
Symptoms of Depressive Disorder,New Hampshire,19.7,16.1,23.8,16.1 - 23.8,17.5-23.8
Symptoms of Anxiety Disorder,New Hampshire,32.5,27.3,38,27.3 - 38.0,31.4-32.9
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,35.7,30.6,41.1,30.6 - 41.1,34.9-38.0
Symptoms of Depressive Disorder,New Hampshire,28.7,23,35.1,23.0 - 35.1,27.3-30.7
Symptoms of Anxiety Disorder,New Hampshire,28.9,24,34.1,24.0 - 34.1,23.8-31.0
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,35.1,29.9,40.6,29.9 - 40.6,34.8-38.3
Symptoms of Depressive Disorder,New Hampshire,28.8,23.6,34.3,23.6 - 34.3,26.0-29.3
Symptoms of Anxiety Disorder,New Hampshire,34,28.5,39.8,28.5 - 39.8,32.3-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,40.7,34.6,46.9,34.6 - 46.9,40.6-43.5
Symptoms of Depressive Disorder,New Hampshire,19.8,15.3,24.9,15.3 - 24.9,15.2-20.9
Symptoms of Anxiety Disorder,New Hampshire,28.4,24,33.1,24.0 - 33.1,20.9-28.4
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,31.5,27.1,36.2,27.1 - 36.2,24.2-33.2
Symptoms of Depressive Disorder,New Hampshire,22.1,18.7,25.8,18.7 - 25.8,21.8-23.2
